expenditure_year,expenditure_date,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue,purpose,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue,position
2023,3/13/2023,,,LC Media,103181,A Better Denver,Mayor,,,Media Buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,3/13/2023,,,WR Communications Inc,2020.68,Housing for Colorado,City Council At-Large,,,Direct Mail,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Travis Leiker,,Support
2023,3/13/2023,,,Sticky LLC,5879.76,One Main Street Denver,City Council,2,,Mailer ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Kevin Flynn,,Support
2023,3/13/2023,,,Leverage 10,615,Housing for Colorado,City Council At-Large,,,Billboards,90 Madison Street,Suite 701,Denver,CO,'80206',No,Yes,Yes,Tim Hoffman,,Support
2023,3/13/2023,,,Leverage 10,615,Housing for Colorado,City Council,4,,Billboards,90 Madison Street,Suite 701,Denver,CO,'80206',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/13/2023,,,Facebook,926.28,COLOR Action Fund,City Council At-Large,,,Digital Advertsing,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Sarah Parady,,Support
2023,3/13/2023,,,Outfront Media,660.83,Save Denver Now,Mayor,,,Advertising,4647 Leyden Street,,Denver,CO,'80216',No,Yes,Yes,Ean Tafoya,,Oppose
2023,3/13/2023,,,Leverage 10,615,Housing for Colorado,City Council At-Large,,,Billboards,90 Madison Street,Suite 701,Denver,CO,'80206',No,Yes,Yes,Travis Leiker,,Oppose
2023,3/13/2023,,,WR Communications Inc,2020.69,Housing for Colorado,City Council,4,,Direct mail,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/13/2023,,,Programmatic,1705.9,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Sarah Parady,,Support
2023,3/13/2023,,,Out Front Media,1015,Housing for Colorado,City Council At-Large,,,Billboards,4647 Leyden Street,,Denver,CO,'80216',No,Yes,Yes,Tim Hoffman,,Support
2023,3/13/2023,,,WR Communications Inc,2020.68,Housing for Colorado,City Council At-Large,,,Direct mail,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Tim Hoffman,,Support
2023,3/13/2023,,,WR Communications Inc,1666.66,Housing for Colorado,City Council At-Large,,,Digital advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Tim Hoffman,,Support
2023,3/13/2023,,,Programmatic,1705.89,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/13/2023,,,Outfront Media,660.83,Save Denver Now,Mayor,,,Advertising,4647 Leyden Street,,Denver,CO,'80216',No,Yes,Yes,Lisa Calderon,,Oppose
2023,3/13/2023,,,WR Communications Inc,1666.67,Housing for Colorado,City Council,4,,Digital advertising,1782 Locust Street,,Denver,CO,'80220',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/13/2023,,,Out Front Media,1015,Housing for Colorado,City Council At-Large,,,Billboard advertising,4647 Leyden Street,,Denver,CO,'80216',No,Yes,Yes,Travis Leiker,,Support
2023,3/10/2023,,,Artist Proof Collective,5082,SEIU Colorado State Council,City Council,8,,Supporting Shontel Lewis,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Shontel Lewis,,Support
2023,3/10/2023,,,Artist Proof Collective,2026.4,SEIU Colorado State Council,City Council,6,,Supporting Paul Kashmann,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Paul Kashmann,,Support
2023,3/10/2023,,,Artist Proof Collective,1957.8,SEIU Colorado State Council,City Council,7,,Supporting Flor Alvidrez,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Flor Alvidrez,,Support
2023,3/10/2023,,,Artist Proof Collective,2209.6,SEIU Colorado State Council,City Council,10,,Supporting Chris Hinds,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Chris Hinds,,Support
2023,3/10/2023,,,Artist Proof Collective,14452.6,SEIU Colorado State Council,City Council At-Large,,,Supporting Sarah Parady,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Sarah Parady,,Support
2023,3/10/2023,,,Artist Proof Collective,5661.6,SEIU Colorado State Council,City Council,9,,Supporting Candi CdeBaca,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Candi CdeBaca,,Support
2023,3/10/2023,,,Artist Proof Collective,1297.4,SEIU Colorado State Council,City Council,2,,Supporting Kevin Flynn,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Kevin Flynn,,Support
2023,3/10/2023,,,Artist Proof Collective,2314,SEIU Colorado State Council,City Council,5,,Supporting Amanda Sawyer,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Amanda Sawyer,,Support
2023,3/10/2023,,,Artist Proof Colllective,1066.2,SEIU Colorado State Council,City Council,3,,Supporting Jamie Torres,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Jamie Torres,,Support
2023,3/10/2023,,,Artist Proof Collective,14452.6,SEIU Colorado State Council,City Council At-Large,,,Supporting Serena Gonzales-Gutierrez,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/9/2023,,,We the People Strategies,6525,One Main Street Denver,City Council,2,,Door-to-Door Canvassing,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Kevin Flynn,,Support
2023,3/9/2023,,,We the People Strategies,6525,One Main Street Denver,City Council At-Large,,,Door-to-Door Canvassing,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,Yes,Yes,Travis Leiker,,Support
2023,3/7/2023,,,Resonance Campaigns,3131.5,Advancing Denver,Mayor,,,Data,913 Florida Ave NW,,Washington,DC,'20001',No,Yes,Yes,Mike Johnston,,Support
2023,3/7/2023,,,Resonance Campaigns,68672.48,Advancing Denver,Mayor,,,Postage,913 Florida Ave NW,,Washington,DC,'20001',No,Yes,Yes,Mike Johnston,,Support
2023,3/7/2023,,,Sticky LLC,8999.92,Denver Firefighters - IAFF Local 858,City Council,8,,,13617 COUNTY ROAD 109H,,LADY LAKE,FL,'32159',No,No,Yes,Brad Revare,,Support
2023,3/7/2023,,,Sticky LLC,8499.97,Denver Firefighters - IAFF Local 858,City Council,8,,            ,13617 COUNTY ROAD 109H,,LADY LAKE,FL,'32159',No,No,Yes,Brad Revare,,Support
2023,3/6/2023,,,Sticky LLC,1400,One Main Street Denver,City Council,2,,Walk Literature,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Kevin Flynn,,Support
2023,3/6/2023,,,Sticky LLC,1400,One Main Street Denver,City Council At-Large,,,Walk Literature,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/6/2023,,,Sticky LLC,4038.05,One Main Street Denver,City Council,4,,Mailer,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/6/2023,,,Sticky LLC,4038.04,One Main Street Denver,City Council At-Large,,,Mailer,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,3/6/2023,,,We the People Strategies,6525,One Main Street Denver,City Council At-Large,,,Support Travis Leiker,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,No,Yes,Travis Leiker,,Support
2023,3/6/2023,,,Wavelength Strategy ,100000,Advancing Denver,Mayor,,,Media,712 H.  Street NE.,Unit 526,Washington,DC,'20002',No,Yes,Yes,Mike Johnston,,Support
2023,3/6/2023,,,We the People Strategies,6525,One Main Street Denver,City Council,4,,Support Diana Romero Campbell,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,No,Yes,Diana Romero Campbell,,Support
2023,3/6/2023,,,Grassroots Media,380000,Advancing Denver,Mayor,,,Media Buy,146 Montgomery Ave,#201,Bala Cynwyd,PA,'19004',No,Yes,Yes,Mike Johnston,,Support
2023,3/4/2023,,,Programmatic,807.41,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Sarah Parady,,Support
2023,3/4/2023,,,Facebook,424.96,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/4/2023,,,Artist Proof Collective,2209.6,SEIU Colorado State Council,City Council,10,,Mail for Hinds,760 Umatilla St,,Denver,CO,'80204',No,Yes,Yes,Chris Hinds,,Support
2023,3/4/2023,,,Programmatic,807.41,COLOR Action Fund,City Council At-Large,,,Digital Advertising Placement,45 N Broad St,,Ridgewood,NJ,'07450',No,Yes,Yes,Serena Gonzales Gutierrez,,Support
2023,3/4/2023,,,Facebook,424.97,COLOR Action Fund,City Council At-Large,,,Digital Advertising,1 Hacker Way,,Menlo Park,CA,'94025',No,No,Yes,Sarah Parady,,Support
2023,3/3/2023,,,Uplift,40028,A Better Denver,Mayor,,,Media Buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,3/3/2023,,,LC Media,206364,A Better Denver,Mayor,,,Media Buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,3/2/2023,,,OUTFRONT MEDIA,3720,Save Denver Now,Mayor,,,Advertising,4647 Leyden ST,,Denver,CO,'80216',No,Yes,No,Leslie Herod,,Oppose
2023,3/1/2023,,,The Public Square LLC,21666,Denver Firefighters - IAFF Local 858,City Council,9,,,6510 Bayou Grande Blvd NE,,"Saint Petersburg,",FL,'33702',No,Yes,Yes,Darrell Watson,,Support
2023,3/1/2023,,,Sticky LLC,8999.98,Denver Firefighters - IAFF Local 858,City Council,4,,,13617 COUNTY ROAD 109H,,Saint Petersburg,FL,'61730',No,Yes,Yes,Diana Romero Campbell,,Support
2023,3/1/2023,,,Bolder Menu,10000,Denver Firefighters - IAFF Local 858,Mayor,,,,7162 Eagle Shadow Ave.,,Brighton,CO,'80602',No,Yes,Yes,Deborah Ortega,,Support
2023,3/1/2023,,,Sticky LLC,8499.97,Denver Firefighters - IAFF Local 858,City Council,8,,,13617 COUNTY ROAD 109H,,Lady Lake,FL,'61730',No,No,Yes,Brad Revare,,Support
2023,3/1/2023,,,The Public Square LLC,21666,Denver Firefighters - IAFF Local 858,City Council At-Large,,,,6510 Bayou Grande Blvd NE,,Saint Petersburg,FL,'33702',No,Yes,Yes,Travis Leiker,,Support
2023,3/1/2023,,,The Public Square LLC,21666,Denver Firefighters - IAFF Local 858,City Council,2,,,6510 Bayou Grande Blvd NE,,Saint Petersburg,FL,'33702',No,Yes,Yes,Kevin Flynn,,Support
2023,3/1/2023,,,The Strategy Division,110397,Denver Firefighters - IAFF Local 858,Mayor,,,,PO Box 3114,,Eldorado Springs,CO,'80025',No,Yes,Yes,Deborah Ortega,,Support
2023,3/1/2023,,,Sticky LLC,8999.98,Denver Firefighters - IAFF Local 858,City Council,9,,,13617 COUNTY ROAD 109H,,Lady Lake,FL,'61730',No,Yes,Yes,Darrell Watson,,Support
2023,3/1/2023,,,Sticky LLC,8300.01,Denver Firefighters - IAFF Local 858,City Council,2,,            ,13617 COUNTY ROAD 109H,,Lady Lake,FL,'61730',No,No,Yes,Kevin Flynn,,Support
2023,2/28/2023,,,"CounterPoint Messaging, LLC",120000,Ready Denver,Mayor,,,"Television, Digital Advertising and Production",1205 John Hood Drive,,Rockvale,TN,'37153',No,No,Yes,Leslie Herod,,Support
2023,2/27/2023,,,Grassroots Media,380000,Advancing Denver,Mayor,,,Media Buy,146 Montgomery Ave.,#201,Bala Cynwyd,PA,'19004',No,Yes,Yes,Mike Johnston,,Support
2023,2/27/2023,,,Bizzy Bee Enterprise dba Denver Urban Spectrum,2350,Ready Denver,Mayor,,,Community Advertising,P.O. Box 31001,,Aurora,CO,'80041',No,No,Yes,Leslie Herod,,Support
2023,2/24/2023,,,LC Media,119158.15,A Better Denver,Mayor,,,Media buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2023,2/24/2023,,,Uplift,20014,A Better Denver,Mayor,,,Media Buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,2/23/2023,,,Citizens for a Safe and Clean Denver,200,Save Denver Now,Mayor,,,General Administrative Costs - Monthly ,PO BOX 103021,,DENVER,CO,'80250',No,Yes,No,Leslie Herod,,Oppose
2023,2/23/2023,,,Sticky LLC,8999.93,Denver Firefighters - IAFF Local 858,City Council,2,,,13617 COUNTY ROAD 109H,,LADY LAKE,FL,'61730',No,Yes,Yes,Kevin Flynn,,Support
2023,2/23/2023,,,STICKY LLC,11249.99,Denver Firefighters - IAFF Local 858,City Council,4,,,13617 COUNTY ROAD 109H,,Lady Lake,FL,'61730',No,Yes,Yes,Diana Romero Campbell,,Support
2023,2/23/2023,,,Sticky LLC,9999.91,Denver Firefighters - IAFF Local 858,City Council,9,,,13617 COUNTY ROAD 109H,,Lady Lake,FL,'61730',No,Yes,Yes,Darrell Watson,,Support
2023,2/23/2023,,,We the People Strategies,6525,One Main Street Denver,City Council,4,,Door-to-Door Canvassing,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,No,Yes,Diana Romero Campbell,,Support
2023,2/23/2023,,,Sticky LLC,8999.03,Denver Firefighters - IAFF Local 858,City Council,8,,            ,13617 COUNTY ROAD 109H,,LADY LAKE,FL,'32159',No,Yes,Yes,Brad Revare,,Support
2023,2/23/2023,,,We the People Strategies,6525,One Main Street Denver,City Council At-Large,,,Door-to-door Canvassing,"2519 S Shields St, Ste 1000 PMB 1041",,Fort Collins,CO,'80526',No,No,Yes,Travis Leiker,,Support
2023,2/22/2023,,,Hudson Bay Company,1915,One Main Street Denver,City Council,1,,Phone Calls,5631 S. 48th St.,Suite 400,Lincoln,NE,'68516',No,No,Yes,Amanda Sandoval,,Support
2023,2/22/2023,,,Hudson Bay Company,1915,One Main Street Denver,City Council At-Large,,,Phone Calls,5631 S. 48th Street,Suite 400,Lincoln,NE,'68516',No,No,Yes,Travis Leiker,,Support
2023,2/21/2023,,,Uplift,6663.33,A Better Denver,Mayor,,,media buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,2/18/2023,,,Sticky LLC,1484.99,One Main Street Denver,City Council,4,,Walk Literature ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Diana Romero Campbell,,Support
2023,2/18/2023,,,Sticky Wins,1484.99,One Main Street Denver,City Council At-Large,,,Walk Literature ,929 N 14th Street,,Leesburg,FL,'32748',No,Yes,Yes,Travis Leiker,,Support
2023,2/17/2023,,,Open Answer LLC,54375,A Better Denver,Mayor,,,Canvass,303 E 17th Ave #405,,Denver,CO,'80203',No,Yes,Yes,Kelly Brough,,Support
2023,2/17/2023,,,Uplift,13350.67,A Better Denver,Mayor,,,Media buy,2120 University Ave,,Berkley,CA,'94704',No,Yes,Yes,Kelly Brough,,Support
2023,2/17/2023,,,LC Media,103182,A Better Denver,Mayor,,,Media Buy,1604 Fawn Lane,,Huntingdon Valley,PA,'19006',No,Yes,Yes,Kelly Brough,,Support
2022,11/16/2022,,,The Strategy Division,10000,Protect Denver's Future,Mayor,,,digital ads,PO Box 3114,,Eldorado Springs,CO,'80025',No,No,Yes,Deborah Ortega,,Support
2021,10/22/2021,,,Legacy Independent Expenditure,11540.25,Defend Colorado,,,2F,Mail to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,10/22/2021,,,Legacy Independent Expenditure,11540.25,Defend Colorado,,,Initiated Ordinance 303,Mail to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
2021,10/19/2021,,,Legacy Independent Expenditure,34000,Denver Taxpayers for Public Education,,,Initiated Ordinance 300,Mail to Oppose Initiated Ordinance 300,,,,,,No,No,Yes,,Initiated Ordinance 300,Oppose
2021,10/19/2021,,,Legacy Independent Expenditure,34000,Denver Taxpayers for Public Education,,,Initiated Ordinance 304,Mail to Oppose Initiated Ordinance 304,,,,,,No,No,Yes,,Initiated Ordinance 304,Oppose
2021,10/18/2021,,,Legacy Independent Expenditure,3500,Defend Colorado,,,2F,Digital Ads to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,10/18/2021,,,Legacy Independent Expenditure,3500,Defend Colorado,,,Initiated Ordinance 303,Digital Ads to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
2021,10/7/2021,,,Legacy Independent Expenditure,21675,Defend Colorado,,,2F,Mail to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,10/7/2021,,,Legacy Independent Expenditure,9562.5,Defend Colorado,,,2F,Mail to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,10/7/2021,,,Legacy Independent Expenditure,9562.5,Defend Colorado,,,Initiated Ordinance 303,Mail to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
2021,10/7/2021,,,Legacy Independent Expenditure,6347.28,Defend Colorado,,,2F,Mail to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,10/7/2021,,,Legacy Independent Expenditure,6347.28,Defend Colorado,,,Initiated Ordinance 303,Mail to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
2021,10/7/2021,,,Legacy Independent Expenditure,20601.96,Defend Colorado,,,2F,Mail to Support 2F,,,,,,No,No,Yes,,2F,Support
2021,9/21/2021,,,Legacy Independent Expenditure,200000,Defend Colorado,,,Initiated Ordinance 303,Digital Ads to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
2021,9/21/2021,,,Legacy Independent Expenditure,15000,Defend Colorado,,,Initiated Ordinance 303,Digital Ads to Support Initiated Ordinance 303,,,,,,No,No,Yes,,Initiated Ordinance 303,Support
